[${project.name}][${env:SERVER_PORT}] 2021-08-11 12:01:00,894 INFO [AsyncResolver-bootstrap-executor-0][ConfigClusterResolver.java:43] - Resolving eureka endpoints via configuration
[${project.name}][${env:SERVER_PORT}] 2021-08-11 12:01:01,191 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
[${project.name}][${env:SERVER_PORT}] 2021-08-11 12:01:11,191 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
[${project.name}][${env:SERVER_PORT}] 2021-08-11 12:01:21,192 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
[${project.name}][${env:SERVER_PORT}] 2021-08-11 12:01:25,308 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[${project.name}][${env:SERVER_PORT}] 2021-08-11 12:01:28,455 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[${project.name}][${env:SERVER_PORT}] 2021-08-11 12:01:31,192 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
[${project.name}][${env:SERVER_PORT}] 2021-08-11 12:01:41,192 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
[${project.name}][${env:SERVER_PORT}] 2021-08-11 12:01:44,638 INFO [http-nio-53000-exec-1][AbstractInstanceRegistry.java:266] - Registered instance ACCOUNT-SERVICE/account-service:172.26.113.1:53030 with status UP (replication=false)
[${project.name}][${env:SERVER_PORT}] 2021-08-11 12:01:45,238 INFO [http-nio-53000-exec-2][AbstractInstanceRegistry.java:266] - Registered instance ACCOUNT-SERVICE/account-service:172.26.113.1:53030 with status UP (replication=true)
[${project.name}][${env:SERVER_PORT}] 2021-08-11 12:01:51,192 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
[${project.name}][${env:SERVER_PORT}] 2021-08-11 12:01:55,311 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[${project.name}][${env:SERVER_PORT}] 2021-08-11 12:01:58,453 INFO [NettyClientSelector_1][Slf4jLoggerFactory.java:95] - closeChannel: close the connection to remote address[] result: true
[${project.name}][${env:SERVER_PORT}] 2021-08-11 12:02:01,192 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
[${project.name}][${env:SERVER_PORT}] 2021-08-11 12:02:11,193 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
